﻿월,Dubai
2015.01,45.77
2015.02,55.69
2015.03,54.69
2015.04,57.72
2015.05,63.02
2015.06,60.84
2015.07,55.61
2015.08,47.76
2015.09,45.77
2015.10,45.82
2015.11,41.61
2015.12,34.92
2016.01,26.86
2016.02,28.87
2016.03,35.24
2016.04,38.99
2016.05,44.26
2016.06,46.3
2016.07,42.53
2016.08,43.64
2016.09,43.33
2016.10,48.97
2016.11,43.9
2016.12,52.08
2017.01,53.71
2017.02,54.39
2017.03,51.2
2017.04,52.3
2017.05,50.72
2017.06,46.47
2017.07,47.57
2017.08,50.22
2017.09,53.66
2017.10,55.54
2017.11,60.82
2017.12,61.61
2018.01,66.2
2018.02,62.72
2018.03,62.74
2018.04,68.27
2018.05,74.41
2018.06,73.61
2018.07,73.12
2018.08,72.49
2018.09,77.23
2018.10,79.39
2018.11,65.56
2018.12,57.32
2019.01,59.09
2019.02,64.59
2019.03,66.94
2019.04,70.94
2019.05,69.38
2019.06,61.78
2019.07,63.28
2019.08,59.13
2019.09,61.13
2019.10,59.39
2019.11,61.99
2019.12,64.91
2020.01,64.32
2020.02,54.23
2020.03,33.71
2020.04,20.39
2020.05,30.47
2020.06,40.8
2020.07,43.3
2020.08,44
2020.09,41.51
2020.10,40.67
2020.11,43.42
2020.12,49.84
2021.01,54.82
2021.02,60.89
2021.03,64.44
2021.04,62.92
2021.05,66.34
2021.06,71.6
2021.07,72.93
2021.08,69.5
2021.09,72.63
2021.10,81.61
2021.11,80.3
2021.12,73.21
