시점,가동률지수(원지수)
2011.01,92.245
2011.02,94.898
2011.03,102.347
2011.04,98.673
2011.05,104.082
2011.06,101.531
2011.07,99.082
2011.08,94.184
2011.09,99.898
2011.10,102.143
2011.11,96.02
2011.12,94.796
2012.01,88.061
2012.02,94.898
2012.03,96.735
2012.04,92.653
2012.05,101.122
2012.06,101.429
2012.07,89.49
2012.08,101.837
2012.09,99.796
2012.10,102.245
2012.11,106.429
2012.12,106.735
2013.01,92.347
2013.02,83.571
2013.03,93.673
2013.04,88.367
2013.05,87.755
2013.06,87.347
2013.07,93.776
2013.08,93.163
2013.09,102.755
2013.10,99.49
2013.11,102.653
2013.12,105.51
2014.01,91.429
2014.02,87.857
2014.03,98.776
2014.04,97.551
2014.05,100.204
2014.06,102.653
2014.07,103.367
2014.08,101.122
2014.09,100.102
2014.10,102.245
2014.11,99.388
2014.12,100.816
2015.01,79.7
2015.02,78.9
2015.03,88.7
2015.04,90.1
2015.05,92.2
2015.06,91.4
2015.07,93.4
2015.08,102.4
2015.09,128.1
2015.10,120.2
2015.11,120.2
2015.12,114.8
2016.01,96.3
2016.02,97.8
2016.03,98.8
2016.04,107.2
2016.05,119.3
2016.06,130.2
2016.07,117.1
2016.08,114.2
2016.09,112.1
2016.10,114.7
2016.11,115.3
2016.12,116.7
2017.01,115.2
2017.02,99.9
2017.03,110.3
2017.04,99
2017.05,111.7
2017.06,106.1
2017.07,108.5
2017.08,112.1
2017.09,110.5
2017.10,114.5
2017.11,106.9
2017.12,117.1
2018.01,103.7
2018.02,102.1
2018.03,118
2018.04,116.5
2018.05,112.9
2018.06,123.8
2018.07,123.1
2018.08,114.7
2018.09,116.6
2018.10,121
2018.11,109.5
2018.12,106.8
2019.01,90.6
2019.02,86.6
2019.03,97.4
2019.04,101.2
2019.05,109.7
2019.06,119.7
2019.07,119.1
2019.08,120.7
2019.09,120.7
2019.10,122.2
2019.11,120.3
2019.12,121.6
2020.01,107
2020.02,107.3
2020.03,115.8
2020.04,98.6
2020.05,113.9
2020.06,120
2020.07,113.9
2020.08,119.4
2020.09,122.8
2020.10,116.7
2020.11,120.3
2020.12,124.3
2021.01,112
2021.02,111.6
2021.03,121.7
2021.04,108.3
2021.05,122.9
2021.06,126.8
2021.07,128.3
2021.08,132.3
2021.09,130.8
2021.10,127.9
2021.11,127.8
2021.12,136.3
