통계표,항목명1,단위,가중치,변환,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01
"7.1.1 생산자물가지수(기본분류)(2015=100)","총지수","2015=100","1000","원자료","102.52","102.95","102.91","103.04","103.34","103.37","103.85","104.32","104.62","104.26","103.53","103.03","102.92","103.02","103.38","103.68","103.79","103.50","103.50","103.74","103.80","103.56","103.41","103.70","104.08","103.74","102.82","101.93","101.96","102.48","102.71","103.22","103.42","103.01","103.09","103.90","105.05","105.91","107.04","108.06","108.65","109.22","110.28","110.86","111.27","112.43","113.23","113.21","114.24"
"7.1.1 생산자물가지수(기본분류)(2015=100)","  상품","2015=100","605.1","원자료","102.13","102.69","102.57","102.70","103.10","103.20","103.81","104.45","104.96","104.39","103.28","102.43","102.05","102.02","102.54","102.88","103.01","102.50","102.38","102.71","102.94","102.47","102.24","102.69","102.84","102.26","100.98","99.44","99.43","100.06","100.17","100.81","101.23","100.52","100.65","101.86","103.32","104.64","106.44","107.88","108.84","109.65","111.15","111.91","112.62","114.50","115.72","115.50","116.79"
"7.1.1 생산자물가지수(기본분류)(2015=100)","    농림수산품","2015=100","35.8","원자료","111.20","116.30","114.72","115.80","114.93","111.75","116.85","126.25","128.21","115.94","112.28","115.56","115.71","111.79","113.39","114.91","112.24","111.64","111.58","115.24","117.92","112.42","113.39","117.94","121.95","118.16","119.53","119.71","122.94","121.02","125.49","133.18","139.66","126.22","124.25","127.16","135.26","139.42","139.28","135.18","133.53","133.92","136.07","136.96","135.90","129.51","131.45","134.87","137.23"
"7.1.1 생산자물가지수(기본분류)(2015=100)","    공산품","2015=100","509.1","원자료","102.34","102.65","102.62","102.68","103.20","103.52","103.95","104.08","104.42","104.55","103.46","102.24","101.71","101.93","102.44","102.71","103.03","102.46","102.28","102.41","102.36","102.18","101.86","102.04","101.92","101.45","99.85","98.04","97.84","98.71","99.09","99.34","99.40","99.46","99.74","100.93","102.29","103.52","105.57","107.46","108.80","109.69","111.42","112.13","112.77","115.10","116.17","115.46","116.52"
"7.1.1 생산자물가지수(기본분류)(2015=100)","      음식료품","2015=100","42.4","원자료","101.39","101.45","101.57","101.60","101.49","101.60","102.25","102.64","102.53","102.23","102.11","102.10","102.11","102.10","102.08","102.56","102.62","102.67","102.59","102.79","102.88","102.76","102.72","102.74","102.92","102.69","102.73","103.04","103.38","103.34","103.34","103.44","103.49","104.28","104.32","104.50","105.45","106.26","106.83","107.11","107.32","107.45","108.52","109.13","109.13","109.36","109.53","109.90","111.57"
"7.1.1 생산자물가지수(기본분류)(2015=100)","      섬유및가죽제품","2015=100","17.7","원자료","101.16","101.26","101.57","101.54","101.59","101.74","101.77","101.81","101.87","102.22","102.28","102.23","102.32","102.36","102.61","102.90","102.93","102.85","102.73","102.85","103.28","103.11","103.04","103.08","102.83","102.84","102.88","102.69","102.65","102.55","102.66","102.62","102.62","102.05","102.10","102.22","102.18","102.66","103.23","103.74","103.89","104.01","104.19","105.47","105.63","106.95","107.21","107.41","108.30"
"7.1.1 생산자물가지수(기본분류)(2015=100)","          비누및화장품","2015=100","4.3","원자료","101.16","101.29","101.40","101.59","101.59","101.59","102.14","102.21","102.12","102.09","101.78","101.63","101.20","101.07","101.20","101.20","101.20","101.07","101.07","101.07","101.07","101.07","101.07","101.07","101.01","101.01","100.76","99.67","99.03","98.78","98.98","99.42","99.42","99.64","99.64","99.64","100.54","101.01","101.63","101.86","101.86","101.67","101.80","101.80","102.23","103.13","103.45","103.29","103.65"
"7.1.1 생산자물가지수(기본분류)(2015=100)","        컴퓨터및주변기기","2015=100","1.5","원자료","98.31","97.93","97.83","97.77","97.30","96.98","96.75","96.68","96.68","98.02","98.02","97.83","97.13","96.51","96.45","95.26","95.13","95.10","95.16","95.16","95.16","95.16","95.05","94.29","93.83","93.83","93.83","94.44","94.10","94.31","94.38","93.95","93.67","93.51","93.38","93.18","93.20","93.29","93.22","93.51","93.96","95.38","95.59","95.71","95.71","96.09","96.09","96.25","96.25"
"7.1.1 생산자물가지수(기본분류)(2015=100)","        통신,방송및영상,음향기기","2015=100","11.8","원자료","93.36","93.21","93.46","91.81","91.81","91.78","90.50","90.58","90.71","90.17","90.03","89.44","89.00","87.68","87.64","87.09","87.18","87.07","86.79","86.82","86.71","86.62","85.27","85.27","85.09","84.77","84.85","84.78","84.67","84.66","84.27","83.71","83.35","83.41","83.54","83.50","82.60","82.45","82.51","81.72","81.60","80.94","81.15","81.10","81.25","80.24","80.49","80.58","78.91"
"7.1.1 생산자물가지수(기본분류)(2015=100)","      소프트웨어개발공급및기타IT서비스","2015=100","30.3","원자료","99.65","99.65","99.65","99.65","99.65","99.65","99.65","99.65","100.75","100.75","100.75","100.75","100.80","100.80","100.80","100.80","100.80","100.80","101.15","101.15","101.15","100.70","100.70","100.70","102.74","102.74","102.74","102.74","102.74","106.26","106.26","106.26","106.26","106.26","106.26","106.26","107.62","107.62","107.62","107.62","107.62","107.62","107.81","107.81","107.81","107.81","107.81","107.81","108.55"
   7.1.1 생산자물가지수(기본분류)(2015=100)
통계담당 : 한국은행 물가통계팀 상품(02-759-4429) 서비스(02-759-4365)
주 : 주1) : 금월지수는 잠정치이며, 익월지수 공표시 확정됨
주2) : 2010년 이후 가중치는 매년 변경되며, 2021년 적용되는 가중치를 표기하였음.
* 생산자물가지수는 총지수의 추정을 위해 표본설계되어 있으므로 최하위 분류단위인 품목별 지수는 통계적 유의성이 떨어질 수 있음

