시점,자동차 부품 제조업
시점,가동률지수(원지수)
2015.01,105.8
2015.02,90.5
2015.03,107.8
2015.04,106.7
2015.05,97.2
2015.06,106.3
2015.07,103.2
2015.08,82
2015.09,92.7
2015.1,102.7
2015.11,100.5
2015.12,104.5
2016.01,95.3
2016.02,85.5
2016.03,105.1
2016.04,95.7
2016.05,96.3
2016.06,98
2016.07,96.3
2016.08,76.2
2016.09,82.1
2016.1,94.2
2016.11,102.3
2016.12,103.8
2017.01,84.1
2017.02,89.6
2017.03,99.4
2017.04,89.8
2017.05,86.1
2017.06,89.5
2017.07,88.1
2017.08,74.7
2017.09,90.1
2017.1,75
2017.11,91.7
2017.12,76.4
2018.01,81.1
2018.02,70.7
2018.03,88.8
2018.04,90.4
2018.05,90.7
2018.06,88.1
2018.07,85
2018.08,84.8
2018.09,81.1
2018.1,96.2
2018.11,97.7
2018.12,91.1
2019.01,94.4
2019.02,75.5
2019.03,95.1
2019.04,99.5
2019.05,98.8
2019.06,92
2019.07,101.1
2019.08,79.6
2019.09,86.3
2019.1,99.1
2019.11,94.9
2019.12,94.2
2020.01,81.1
2020.02,72.4
2020.03,97.5
2020.04,76.7
2020.05,58.9
2020.06,73.5
2020.07,89.3
2020.08,69.7
2020.09,96.8
2020.1,95.3
2020.11,98.6
2020.12,92.5
2021.01,93.7
2021.02,82.6
2021.03,101.1
2021.04,95.7
2021.05,85.1
2021.06,94.1
2021.07,91.5
2021.08,77.2
2021.09,78.3
2021.1,85.5
2021.11,93.9
2021.12,98.8
